Text:  HERE IS A STORY ABOUT TWO CHAPS WHO HAVE BOUGHT THEMSELVES A ROLLS ROYCE EACH WHO SAID THE GOVERNMENT TRAINING SCHEMES DON'T WORK I'LL GET A DAMNED KNIGHTHOOD IF IT KILLS ME ANYWAY THIS IS STORY ABOUT THESE TWO CHAPS WHO'VE JUST BOUGHT THEMSELVES A ROLLS ROYCE EACH PROBABLY THE TWO WHO PUT A NEW WASHER ON A TAP FOR US LAST WEEK NIGEL AND KEVIN WE'LL CALL THEM THAT'S NOT WHAT I CALLED THEM THEN BUT THAT'S WHAT I'LL CALL THEM NOW BY THE WAY THIS ISN'T ACTUALLY THE JOKE I WAS GOING TO TELL YOU WHICH HAD MORE GENERAL INTEREST TO BE HONEST A LOT OF PEOPLE HAVEN'T GOT A ROLLS ROYCE I KNOW I'M GOING AGAINST GOVERNMENT FIGURES HERE BUT THERE YOU ARE BUT WHAT HAPPENED WAS I MET THE PRODUCER IN THE BAR JUST BEFORE THE SHOW HE WAS SITTING THERE SIPPING HIS USUAL BACARDI AND NIGHT NURSE WITH TWO CHERRIES AND A VALIUM READING HEALTH AND EFFICIENCY AND HE SAID RONNIE LOVE RONNIE LOVE WHAT ARE YOU GOING TO DO FOR THAT BIT OF NONSENSE WHERE YOU SIT LOOKING DESPERATE I SAID I'M GOING TO TELL A JOKE ABOUT A FAIRY ISN'T IT FUNNY WHEN YOU KNOW YOU'VE SAID THE WRONG THING HE LET GO OF THE BARMAN'S HAND AND SAID I'VE JUST BEEN TOLD THEY'RE BRINGING BACK BILL AND BEN AND IF YOU'RE NOT CAREFUL YOU'LL BE BACK IN THE FLOWERPOT ANYWAY THAT NEEDN'T WORRY YOU IT WORRIES ME BUT IT NEEDN'T WORRY YOU SO HERE IS THE STORY WITH NO FAIRIES JUST COUPLE OF CHAPS WHO MET UP AFTER A FEW YEARS KEVIN SAYS I'M DOING SO WELL I'M DRIVING A VERY EXPENSIVE CAR A ROLLS ROYCE SILVER CLOUD NO LESS NIGEL SAYS CALL THAT EXPENSIVE WHEN I BOUGHT MY CAR THEY GAVE ME ONE OF THOSE FOR THE KIDS HE WAS A GRADUATE FROM THE DEREK JAMIESON CHARM SCHOOL THE OTHER CHAP SAYS BUT THIS ONE HAS GOT SOME AMAZING EXTRAS IF I'M DRIVING ALONG THE MOTORWAY IN THE RAIN AND START AQUAPLANING A VOICE SINGS IN QUADRAPHONIC SOUND WE'RE RIDING ALONG ON THE CREST OF A WAVE THE FRIEND SAYS THAT'S JUST A GIMMICK MY CAR HAS MORE PRACTICAL EXTRAS IF I HAVE A TYRE BLOWOUT IN THE FAST LANE THE COMPUTER TAKES OVER SLOWS ME DOWN ONTO THE HARD SHOULDER STOPS THEN DRENCHES THE INSIDE OF THE CAR WITH CHANEL NO 5 THE NEXT TIME THEY MEET ONE OF THEM SAYS I'VE JUST BOUGHT A GADGET SO THAT IF I'M COMING BACK FROM THE CLUB AND THE OLD DRIVING'S A BIT DODGY AS SOON AS THE OLD BILL APPEARS A FLAGPOLE POPS UP WITH THE ROYAL STANDARD ON IT 
Conf:  1

WORD START END ASDSCORE
HERE 0.07 1.35 0.8
IS 1.35 1.47 4.2
A 1.47 1.53 4.0
STORY 1.53 2.17 7.2
ABOUT 2.31 2.72 4.4
TWO 2.72 2.93 2.9
CHAPS 2.93 3.57 7.1
WHO 3.65 3.79 7.0
HAVE 3.79 3.88 6.6
BOUGHT 3.88 4.22 7.7
THEMSELVES 4.22 5.05 5.8
A 5.24 5.35 10.8
ROLLS 5.35 5.86 10.6
ROYCE 5.86 6.30 8.5
EACH 6.35 6.76 5.8
WHO 8.15 8.31 5.1
SAID 8.31 8.57 9.1
THE 8.57 8.63 7.1
GOVERNMENT 8.63 9.05 4.8
TRAINING 9.05 9.38 9.0
SCHEMES 9.38 9.72 6.7
DON'T 9.72 9.84 8.7
WORK 9.84 10.23 9.7
I'LL 10.43 10.51 1.3
GET 10.51 11.46 1.1
A 11.63 11.70 3.4
DAMNED 11.70 12.19 6.1
KNIGHTHOOD 12.19 12.54 6.0
IF 12.54 12.62 4.9
IT 12.62 12.70 6.3
KILLS 12.70 12.95 7.8
ME 12.95 13.06 8.7
ANYWAY 13.15 13.53 6.7
THIS 13.78 13.87 7.5
IS 13.87 13.98 8.7
STORY 14.01 14.42 7.9
ABOUT 14.79 15.12 6.7
THESE 15.12 15.36 2.9
TWO 15.36 15.49 2.4
CHAPS 15.49 15.82 6.3
WHO'VE 15.82 15.97 5.5
JUST 15.97 16.28 8.5
BOUGHT 16.28 16.50 6.2
THEMSELVES 16.50 16.93 7.5
A 17.30 17.36 13.0
ROLLS 17.36 17.75 10.5
ROYCE 17.75 18.08 10.9
EACH 18.08 18.42 8.1
PROBABLY 19.10 19.44 7.1
THE 19.44 19.54 3.4
TWO 19.54 19.85 3.7
WHO 19.85 20.00 2.9
PUT 20.00 20.18 8.9
A 20.18 20.24 8.6
NEW 20.24 20.45 8.7
WASHER 20.45 20.87 8.0
ON 20.87 20.97 5.2
A 20.97 21.02 7.9
TAP 21.02 21.38 11.0
FOR 21.38 21.48 8.3
US 21.48 21.63 7.7
LAST 21.63 21.88 9.3
WEEK 21.88 22.16 5.3
NIGEL 22.66 24.70 4.1
AND 24.70 24.91 10.0
KEVIN 24.91 25.49 4.2
WE'LL 25.90 26.04 6.9
CALL 26.04 26.37 7.7
THEM 26.37 26.52 1.4
THAT'S 27.79 27.99 8.1
NOT 27.99 28.12 7.5
WHAT 28.12 28.27 7.5
I 28.27 28.30 7.6
CALLED 28.30 28.54 8.2
THEM 28.54 28.65 8.6
THEN 28.65 28.94 10.3
BUT 28.94 29.08 8.0
THAT'S 29.10 29.26 3.0
WHAT 29.26 29.44 -0.6
I'LL 29.44 30.23 1.7
CALL 30.23 30.37 -1.2
THEM 30.37 30.58 -0.5
NOW 30.58 30.86 7.4
BY 31.15 31.30 10.0
THE 31.30 31.36 10.2
WAY 31.36 31.80 10.8
THIS 31.94 32.47 4.8
ISN'T 32.69 33.38 5.8
ACTUALLY 33.38 34.22 4.9
THE 34.40 34.53 5.5
JOKE 34.53 34.98 7.8
I 34.98 35.14 16.6
WAS 35.14 35.48 12.2
GOING 35.48 35.66 5.3
TO 35.66 35.77 7.4
TELL 35.77 36.01 8.2
YOU 36.01 36.24 0.8
WHICH 36.62 37.10 6.2
HAD 37.53 38.01 10.8
MORE 38.22 38.84 6.4
GENERAL 38.84 39.34 11.1
INTEREST 39.34 39.91 7.3
TO 40.32 40.53 1.2
BE 40.77 40.96 10.1
HONEST 40.96 41.35 8.6
A 41.41 41.51 9.8
LOT 41.51 41.84 8.1
OF 41.84 41.91 8.4
PEOPLE 41.91 42.40 9.6
HAVEN'T 42.55 42.95 9.1
